avg_perplexity is:	1.4410041807855742
i pinched it out of the skivvys room buck mulligan said	pp=2.0858829361044453
it does her all right	pp=1.177235743685799
the aunt always keeps plainlooking servants for malachi	pp=1.1657314541521901
lead him not into temptation	pp=1.2017149031609506
and her name is ursula	pp=1.4489679007550909
laughing again he brought the mirror away from stephens peering eyes	pp=1.5478788883759826
the rage of caliban at not seeing his face in a mirror he said	pp=1.501671290877562
if wilde were only alive to see you  drawing back and pointing stephen said with bitterness  it is a symbol of irish art	pp=1.8076049628495892
the cracked lookingglass of a servant	pp=1.0669797605473317
buck mulligan suddenly linked his arm in stephens and walked with him round the tower his razor and mirror clacking in the pocket where he had thrust them	pp=1.6115326309205265
its not fair to tease you like that kinch is it	pp=1.3517986762452199
he said kindly	pp=6.043704946330655
god knows you have more spirit than any of them parried again	pp=1.453643488448109
he fears the lancet of my art as i fear that of his	pp=1.3708146454003811
the cold steel pen	pp=1.3073943789960891
cracked lookingglass of a servant tell that to the oxy chap downstairs and touch him for a guinea	pp=1.6284554923272958
hes stinking with money and thinks youre not a gentleman	pp=1.3501603300413008
his old fellow made his tin by selling jalap to zulus or some bloody swindle or other	pp=1.4095121877029886
god kinch if you and i could only work together we might do something for the island hellenise it cranlys arm his arm	pp=1.5933100244734177
and to think of your having to beg from these swine	pp=1.768378547186747
im the only one that knows what you are	pp=1.496549054103779
why dont you trust me more	pp=1.4350167916747618
what have you up your nose against me	pp=1.5653748523686775
is it haines	pp=4.377880972553123
if he makes any noise here ill bring down seymour and well give him a ragging worse than they gave clive kempthorpe	pp=1.4961528929152688
young shouts of moneyed voices in clive kempthorpes rooms	pp=1.192460870608245
palefaces they hold their ribs with laughter one clasping another	pp=1.2347616371097747
o i shall expire break the news to her gently aubrey i shall die with slit ribbons of his shirt whipping the air he hops and hobbles round the table with trousers down at heels chased by ades of magdalen with the tailors shears	pp=1.476433829445293
a scared calfs face gilded with marmalade	pp=1.1580043657531174
a deaf gardener aproned masked with matthew arnolds face pushes his mower on the sombre lawn watching narrowly the dancing motes of grasshalms to ourselves new paganism omphalos	pp=1.2773274279105793
let him stay stephen said	pp=1.1083384242628482
theres nothing wrong with him except at night	pp=1.2983927013020276
then what is it	pp=1.1279680504486032
cough it up	pp=1.1409991010739713
im quite frank with you	pp=1.1163237910708899
what have you against me now	pp=1.5849553200150757
they halted looking towards the blunt cape of bray head that lay on the water like the snout of a sleeping whale	pp=1.6279378536688867
stephen freed his arm quietly	pp=1.2062797898642479
do you wish me to tell you he asked	pp=1.8817542468303126
yes what is it	pp=1.1279680504486032
buck mulligan answered	pp=3.039520463411804
i dont remember anything	pp=1.2727168930033341
he looked in stephens face as he spoke	pp=1.4060369100161947
a light wind passed his brow fanning softly his fair uncombed hair and stirring silver points of anxiety in his eyes	pp=1.3781752445337627
stephen depressed by his own voice said  do you remember the first day i went to your house after my mothers death	pp=1.8691730600068943
buck mulligan frowned quickly and said  what where	pp=1.4675643242805512
i cant remember anything	pp=1.072385490274826
i remember only ideas and sensations why	pp=1.1970101651250387
what happened in the name of god	pp=1.6612452688816286
you were making tea stephen said and went across the landing to get more hot water	pp=1.552047007679996
your mother and some visitor came out of the drawingroom	pp=2.240142024218297
she asked you who was in your room yes	pp=1.832639392882878
buck mulligan said	pp=1.7219368326753164
what did i say i forget	pp=1.6949272443321006
you said stephen answered _o its only dedalus whose mother is beastly dead_  a flush which made him seem younger and more engaging rose to buck mulligans cheek	pp=1.452233407545711
did i say that he asked well	pp=1.9754502348160896
what harm is that	pp=1.07092916084794
he shook his constraint from him nervously	pp=1.26471639144738
and what is death he asked your mothers or yours or my own	pp=1.327826697545751
you saw only your mother die	pp=1.2569135132075053
i see them pop off every day in the mater and richmond and cut up into tripes in the dissectingroom	pp=1.5773449549683163
its a beastly thing and nothing else	pp=1.2594884237296797
it simply doesnt matter	pp=1.0714403353547093
you wouldnt kneel down to pray for your mother on her deathbed when she asked you why	pp=1.6408056013513401
because you have the cursed jesuit strain in you only its injected the wrong way	pp=1.4910994086149407
to me its all a mockery and beastly	pp=1.4074380919358558
her cerebral lobes are not functioning	pp=1.196450195283523
she calls the doctor sir peter teazle and picks buttercups off the quilt	pp=1.3161494146312762
humour her till its over	pp=1.1628195831010195
you crossed her last wish in death and yet you sulk with me because i dont whinge like some hired mute from lalouettes	pp=1.4076963833748122
absurd i suppose i did say it	pp=1.565331380918196
i didnt mean to offend the memory of your mother	pp=1.551912696336892
he had spoken himself into boldness	pp=1.1997348942892416
of what then	pp=3.072103274272247
buck mulligan asked	pp=3.3424660834858013
of the offence to me stephen answered	pp=1.448042072157432
buck mulligan swung round on his heel	pp=1.2711645110232848
o an impossible person he exclaimed	pp=1.1791356839664282
he walked off quickly round the parapet	pp=1.2798387679572027
stephen stood at his post gazing over the calm sea towards the headland	pp=1.4312830930000897
sea and headland now grew dim	pp=1.140663636230797
pulses were beating in his eyes veiling their sight and he felt the fever of his cheeks	pp=1.640858664019034
a voice within the tower called loudly  are you up there mulligan	pp=1.4088155792608144
im coming buck mulligan answered	pp=1.1556326021987116
he turned towards stephen and said  look at the sea	pp=2.226519749839526
what does it care about offences	pp=1.2694140205193651
the sassenach wants his morning rashers	pp=1.1529494356961352
his head halted again for a moment at the top of the staircase level with the roof  dont mope over it all day he said im inconsequent	pp=1.8099867275273527
give up the moody brooding	pp=1.1952321586834669
his head vanished but the drone of his descending voice boomed out of the stairhead  and no more turn aside and brood upon loves bitter mystery for fergus rules the brazen cars	pp=1.6165234806150952
woodshadows floated silently by through the morning peace from the stairhead seaward where he gazed	pp=1.4311985770428253
inshore and farther out the mirror of water whitened spurned by lightshod hurrying feet	pp=1.4205530824297532
white breast of the dim sea	pp=1.2806446159593972
the twining stresses two by two	pp=1.105240795183261
a hand plucking the harpstrings merging their twining chords	pp=1.1571106564142264
wavewhite wedded words shimmering on the dim tide	pp=1.2567500515668304
a cloud began to cover the sun slowly wholly shadowing the bay in deeper green	pp=1.3281791881899667
it lay beneath him a bowl of bitter waters	pp=1.4367888166248766
fergus song i sang it alone in the house holding down the long dark chords	pp=1.8029623124620564
her door was open she wanted to hear my music	pp=1.5486346784657044
silent with awe and pity i went to her bedside	pp=1.6089528724403759
she was crying in her wretched bed	pp=1.2674163761883126
for those words stephen loves bitter mystery where now	pp=1.3353343745517345
her secrets old featherfans tasselled dancecards powdered with musk a gaud of amber beads in her locked drawer	pp=1.234715773086287
a birdcage hung in the sunny window of her house when she was a girl	pp=1.940003682171874
she heard old royce sing in the pantomime of turko the terrible and laughed with others when he sang  i am the boy that can enjoy invisibility	pp=1.663986971084862
phantasmal mirth folded away muskperfumed	pp=1.1594934285188516
folded away in the memory of nature with her toys	pp=1.7819244939450758
memories beset his brooding brain	pp=1.1041168931519547
her glass of water from the kitchen tap when she had approached the sacrament	pp=1.6451375314957593
a cored apple filled with brown sugar roasting for her at the hob on a dark autumn evening	pp=1.5031495967220616
her shapely fingernails reddened by the blood of squashed lice from the childrens shirts	pp=1.4451613432781218
in a dream silently she had come to him her wasted body within its loose graveclothes giving off an odour of wax and rosewood her breath bent over him with mute secret words a faint odour of wetted ashes	pp=1.4830584242413682
her glazing eyes staring out of death to shake and bend my soul	pp=1.447157946863031
on me alone	pp=3.022900356406897
the ghostcandle to light her agony	pp=1.23428583575346
ghostly light on the tortured face	pp=1.4652152300627705
her hoarse loud breath rattling in horror while all prayed on their knees	pp=1.3181729789822951
her eyes on me to strike me down	pp=1.5544617930935445
_liliata rutilantium te confessorum turma circumdet iubilantium te virginum chorus excipiat_  ghoul chewer of corpses  no mother let me be and let me live	pp=1.3915605590898477
kinch ahoy  buck mulligans voice sang from within the tower	pp=1.4527282093506797
it came nearer up the staircase calling again	pp=1.54629448342502
stephen still trembling at his souls cry heard warm running sunlight and in the air behind him friendly words	pp=1.8141384126045643
dedalus come down like a good mosey	pp=1.8909954740977533
breakfast is ready	pp=1.2594253307550392
haines is apologising for waking us last night	pp=1.1651905884114169
its all right	pp=1.712131686437483
im coming stephen said turning	pp=1.200090840547415
do for jesus sake buck mulligan said	pp=1.1763338053504726
for my sake and for all our sakes	pp=1.7747754347094076
his head disappeared and reappeared	pp=1.1131677696220579
i told him your symbol of irish art	pp=1.5311438848891827
he says its very clever	pp=1.162831065256791
touch him for a quid will you	pp=1.7697655367083303
a guinea i mean	pp=1.0731828367671605
i get paid this morning stephen said	pp=1.2316798827686415
the school kip	pp=1.2459886958471316
buck mulligan said how much four quid	pp=1.6481594622543299
lend us one	pp=1.576447114658612
if you want it stephen said	pp=1.641867972038144
four shining sovereigns buck mulligan cried with delight	pp=1.3991741405376354
four omnipotent sovereigns	pp=1.1856240433019718
he flung up his hands and tramped down the stone stairs singing out of tune with a cockney accent  o wont we have a merry time drinking whisky beer and wine on coronation coronation day o wont we have a merry time on coronation day  warm sunshine merrying over the sea	pp=1.4870818566167492
the nickel shavingbowl shone forgotten on the parapet	pp=1.2257006132394512
why should i bring it down	pp=1.4323006581182924
or leave it there all day forgotten friendship	pp=1.3829106324284215
he went over to it held it in his hands awhile feeling its coolness smelling the clammy slaver of the lather in which the brush was stuck	pp=1.764614211852793
so i carried the boat of incense then at clongowes	pp=1.323560345415866
i am another now and yet the same	pp=1.3166720190006356
a servant too	pp=1.8689419633536992
a server of a servant	pp=1.211814746604904
in the gloomy domed livingroom of the tower buck mulligans gowned form moved briskly to and fro about the hearth hiding and revealing its yellow glow	pp=1.560522647694891
two shafts of soft daylight fell across the flagged floor from the high barbacans and at the meeting of their rays a cloud of coalsmoke and fumes of fried grease floated turning	pp=1.5838688812675836
well be choked buck mulligan said	pp=1.1501914982617647
stephen laid the shavingbowl on the locker	pp=1.3975593376526116
a tall figure rose from the hammock where it had been sitting went to the doorway and pulled open the inner doors	pp=1.8901113738971258
have you the key	pp=1.846245863814649
a voice asked	pp=2.5573272376209486
dedalus has it buck mulligan said	pp=1.2220682707063117
janey mack im choked  he howled without looking up from the fire  kinch  its in the lock stephen said coming forward	pp=1.7728342835722195
the key scraped round harshly twice and when the heavy door had been set ajar welcome light and bright air entered	pp=1.5325067533516386
haines stood at the doorway looking out	pp=1.5409652552784696
stephen haled his upended valise to the table and sat down to wait	pp=1.962526135475157
buck mulligan tossed the fry on to the dish beside him	pp=1.77548222475695
then he carried the dish and a large teapot over to the table set them down heavily and sighed with relief	pp=1.8559849779904085
im melting he said as the candle remarked when	pp=1.611381064697298
but hush not a word more on that subject kinch wake up bread butter honey	pp=1.444425227591104
haines come in	pp=1.2410885682120156
the grub is ready	pp=1.0744641765520526
bless us o lord and these thy gifts	pp=1.348627665528073
wheres the sugar	pp=2.6197052523943807
o jay theres no milk	pp=1.193833427504677
stephen fetched the loaf and the pot of honey and the buttercooler from the locker	pp=1.4877060618020228
buck mulligan sat down in a sudden pet	pp=1.8841869554805546
what sort of a kip is this he said	pp=1.761719024527158
i told her to come after eight	pp=1.9040063638009976
theres a lemon in the locker	pp=1.2139027279570398
o damn you and your paris fads buck mulligan said	pp=1.313776786499834
i want sandycove milk	pp=1.0682577572572698
haines came in from the doorway and said quietly  that woman is coming up with the milk	pp=2.0556842700467906
the blessings of god on you buck mulligan cried jumping up from his chair sit down	pp=1.6654293546665275
pour out the tea there	pp=1.2178920302062022
the sugar is in the bag	pp=1.762734492048811
he hacked through the fry on the dish and slapped it out on three plates saying  _in nomine patris et filii et spiritus sancti_  haines sat down to pour out the tea	pp=1.5323968211027197
im giving you two lumps each he said	pp=1.2530119403890922
but i say mulligan you do make strong tea dont you	pp=1.3347379859222146
buck mulligan hewing thick slices from the loaf said in an old womans wheedling voice  when i makes tea i makes tea as old mother grogan said	pp=1.5730074984343354
and when i makes water i makes water	pp=1.486309334860257
by jove it is tea haines said	pp=1.2324116772820546
buck mulligan went on hewing and wheedling  _so i do mrs cahill_ says she	pp=1.29213142928229
_begob maam_ says mrs cahill _god send you dont make them in the one pot_  he lunged towards his messmates in turn a thick slice of bread impaled on his knife	pp=1.6355899572750983
thats folk he said very earnestly for your book haines	pp=1.4910286182792012
five lines of text and ten pages of notes about the folk and the fishgods of dundrum	pp=1.366741619256995
printed by the weird sisters in the year of the big wind	pp=1.6974611169866325
he turned to stephen and asked in a fine puzzled voice lifting his brows  can you recall brother is mother grogans tea and water pot spoken of in the mabinogion or is it in the upanishads	pp=1.793388419128671
i doubt it said stephen gravely	pp=1.3014420266637603
do you now	pp=5.094017800098867
your reasons pray	pp=1.2291494108623178
i fancy stephen said as he ate it did not exist in or out of the mabinogion	pp=2.233600848791171
mother grogan was one imagines a kinswoman of mary ann	pp=1.2714644145428464
buck mulligans face smiled with delight	pp=1.2360910579607782
charming he said in a finical sweet voice showing his white teeth and blinking his eyes pleasantly	pp=1.6752331587515383
do you think she was	pp=1.8813033545495579
quite charming  then suddenly overclouding all his features he growled in a hoarsened rasping voice as he hewed again vigorously at the loaf  _for old mary ann  she doesnt care a damn	pp=1.3726527689373536
but hising up her petticoats_  he crammed his mouth with fry and munched and droned	pp=1.4013002962688206
the doorway was darkened by an entering form	pp=1.2461239438967202
the milk sir  come in maam mulligan said	pp=1.2578217137272736
kinch get the jug	pp=1.17841324551093
an old woman came forward and stood by stephens elbow	pp=1.8625951335360422
thats a lovely morning sir she said	pp=1.2525446208569142
glory be to god to whom	pp=1.621857913875365
mulligan said glancing at her	pp=1.3342997120764681
ah to be sure  stephen reached back and took the milkjug from the locker	pp=1.6284653873656618
the islanders mulligan said to haines casually speak frequently of the collector of prepuces	pp=1.5221677734688515
how much sir	pp=2.9375971634560556
asked the old woman	pp=1.1711570643820801
a quart stephen said	pp=1.0620173555603567
he watched her pour into the measure and thence into the jug rich white milk not hers	pp=1.4229655708523763
old shrunken paps	pp=1.2114063144033287
old and secret she had entered from a morning world maybe a messenger	pp=1.3617118829204373
she praised the goodness of the milk pouring it out	pp=1.3699753659119538
crouching by a patient cow at daybreak in the lush field a witch on her toadstool her wrinkled fingers quick at the squirting dugs	pp=1.357887694118742
they lowed about her whom they knew dewsilky cattle	pp=1.3422488524911143
silk of the kine and poor old woman names given her in old times	pp=1.5572151744861251
a wandering crone lowly form of an immortal serving her conqueror and her gay betrayer their common cuckquean a messenger from the secret morning	pp=1.349731719731661
to serve or to upbraid whether he could not tell but scorned to beg her favour	pp=1.5259478251282632
it is indeed maam buck mulligan said pouring milk into their cups	pp=1.558948181726192
he drank at her bidding	pp=1.2101762077276406
if we could live on good food like that he said to her somewhat loudly we wouldnt have the country full of rotten teeth and rotten guts	pp=1.868084950723114
living in a bogswamp eating cheap food and the streets paved with dust horsedung and consumptives spits	pp=1.2745960732424846
are you a medical student sir	pp=1.5756119291686908
the old woman asked	pp=1.7078826608200515
i am maam buck mulligan answered	pp=1.288929591807588
look at that now she said	pp=1.4919874347676696
stephen listened in scornful silence	pp=1.141616161786113
she bows her old head to a voice that speaks to her loudly her bonesetter her medicineman me she slights	pp=1.4511724135773902
to the voice that will shrive and oil for the grave all there is of her but her womans unclean loins of mans flesh made not in gods likeness the serpents prey	pp=1.5539767030769343
and to the loud voice that now bids her be silent with wondering unsteady eyes	pp=1.590028041963182
do you understand what he says	pp=1.678474793118656
stephen asked her	pp=2.098599120523367
is it french you are talking sir	pp=1.3692065049133433
the old woman said to haines	pp=1.65955691357866
haines spoke to her again a longer speech confidently	pp=1.5852511845801123
irish buck mulligan said	pp=1.137201195234701
is there gaelic on you	pp=1.1135308956478536
i thought it was irish she said by the sound of it	pp=1.6834466749919843
are you from the west sir	pp=1.4577113371419872
i am an englishman haines answered	pp=1.327637774831627
hes english buck mulligan said and he thinks we ought to speak irish in ireland	pp=1.8221378734185318
im told its a grand language by them that knows	pp=1.499611287525106
grand is no name for it said buck mulligan wonderful entirely	pp=1.5005117538592354
fill us out some more tea kinch	pp=1.306298208148605
would you like a cup maam	pp=1.7703404125809132
no thank you sir the old woman said slipping the ring of the milkcan on her forearm and about to go	pp=1.7658403146715365
we had better pay her mulligan hadnt we	pp=1.4007387376828746
stephen filled again the three cups bill sir	pp=1.2965387691082457
she said halting	pp=3.3983188557875477
well its seven mornings a pint at twopence is seven twos is a shilling and twopence over and these three mornings a quart at fourpence is three quarts is a shilling	pp=1.4371602293141965
thats a shilling and one and two is two and two sir	pp=1.8151909663500687
buck mulligan sighed and having filled his mouth with a crust thickly buttered on both sides stretched forth his legs and began to search his trouser pockets	pp=1.5669833885358138
pay up and look pleasant haines said to him smiling	pp=1.8101858415327818
buck mulligan brought up a florin twisted it round in his fingers and cried  a miracle  he passed it along the table towards the old woman saying  ask nothing more of me sweet	pp=1.7475306091621188
all i can give you i give	pp=1.6947542595294127
stephen laid the coin in her uneager hand	pp=1.450358729148927
well owe twopence he said	pp=1.0882043084302173
time enough sir she said taking the coin time enough	pp=1.4626415899721839
good morning sir	pp=1.298760413220239
she curtseyed and went out followed by buck mulligans tender chant  _heart of my heart were it more  more would be laid at your feet_  he turned to stephen and said  seriously dedalus im stony	pp=1.572216031846507
hurry out to your school kip and bring us back some money	pp=1.427567812844375
today the bards must drink and junket	pp=1.2122760668286772
ireland expects that every man this day will do his duty	pp=1.50795908601666
that reminds me haines said rising that i have to visit your national library today	pp=1.7001156373265707
our swim first buck mulligan said	pp=1.1552884617972128
he turned to stephen and asked blandly  is this the day for your monthly wash kinch	pp=1.6947270982998768
then he said to haines  the unclean bard makes a point of washing once a month	pp=1.7815448199163628
all ireland is washed by the gulfstream stephen said as he let honey trickle over a slice of the loaf	pp=1.5929709694226095
haines from the corner where he was knotting easily a scarf about the loose collar of his tennis shirt spoke  i intend to make a collection of your sayings if you will let me	pp=1.70379989185106
speaking to me	pp=1.5111224055799086
they wash and tub and scrub	pp=1.204172972784087
agenbite of inwit conscience	pp=1.3607420552675877
yet heres a spot	pp=1.14423096046709
that one about the cracked lookingglass of a servant being the symbol of irish art is deuced good	pp=1.430048267672737
buck mulligan kicked stephens foot under the table and said with warmth of tone  wait till you hear him on hamlet haines	pp=1.7872499962287127
well i mean it haines said still speaking to stephen	pp=1.3872976537449968
i was just thinking of it when that poor old creature came in	pp=1.8217238738362458
would i make any money by it stephen asked	pp=1.3537058657772176
haines laughed and as he took his soft grey hat from the holdfast of the hammock said  i dont know im sure	pp=2.0385173512336907
buck mulligan bent across to stephen and said with coarse vigour  you put your hoof in it now	pp=1.8169540602029894
what did you say that for well stephen said	pp=1.581525199000906
the problem is to get money from whom	pp=1.3463360512902662
from the milkwoman or from him	pp=1.1633930637341845
its a toss up i think	pp=1.2124138978049803
i blow him out about you buck mulligan said and then you come along with your lousy leer and your gloomy jesuit jibes	pp=1.765149016346537
i see little hope stephen said from her or from him	pp=1.4833494290797173
buck mulligan sighed tragically and laid his hand on stephens arm	pp=1.6786035300409585
from me kinch he said	pp=1.1155455808709498
in a suddenly changed tone he added  to tell you the gods truth i think youre right	pp=1.7922972043390293
damn all else they are good for	pp=1.2852010229122073
why dont you play them as i do	pp=1.7310031754058857
to hell with them all	pp=1.5192251711732179
he stood up gravely ungirdled and disrobed himself of his gown saying resignedly  mulligan is stripped of his garments	pp=1.5369466624294355
he emptied his pockets on to the table	pp=1.6918469716962534
theres your snotrag he said	pp=1.0835839200858155
and putting on his stiff collar and rebellious tie he spoke to them chiding them and to his dangling watchchain	pp=1.5368639342408446
his hands plunged and rummaged in his trunk while he called for a clean handkerchief	pp=1.399837890860544
